id,category,username,pictures,Status,StockNumber,OptionsList,Sold,State,Mileage,Price,Vin,Transmission,FuelType,Video,Year,BoatMake,IW_NO,BoatType,SellerComments,BoatModel,BoatLength,BoatWeight,BoatBeam,BoatEngineType,BoatEngine,Boathull,BoatDriveType,BoatPass,BoatFuelType,BoatFuelCapacity,EngineHours,BoatSteeringType,BoatTrailer,BoatBattery,BoatExteriorColor,BoatInteriorColor
29299,Marine,gtperformance,pictures/29299_1.jpg;pictures/29299_2.jpg;pictures/29299_3.jpg;pictures/29299_4.jpg;pictures/29299_5.jpg,,,"
		Indmar Raptor 440 HP Motor<br />
		3 Year Bow to Stern Warranty<br />
		Tig� Lifeplus Lifetime Warranty<br />
		3 Year Touch Screen Warranty<br />
		5 Year Warranty Indmar Raptor 400<br />
		Zero Off Cruise Control<br />
		Tig� Touch2 Screen<br />
		TIVOLI Steering Wheel<br />
		Surf Bimini Black<br />
		3 Vent Heater System<br />
		Luxe Paint Package<br />
		Deckadance Mat<br />
		Surf Racks<br />
		Z-Cline Captains Seat<br />
		Black Alpha Z Tower<br />
		Tower of Power REV 10's LED<br />
		Custom Color REV Speakers<br />
		Wake Pro Ballast<br />
Convex VX",false,Saskatchewan,,,,,,,2015,Tige,,,,Z3,23',,,,440,,,,,,,,Included,,,
29588,Marine,gtperformance,pictures/29588_1.jpg;pictures/29588_2.jpg;pictures/29588_3.jpg;pictures/29588_4.jpg;pictures/29588_5.jpg;pictures/29588_6.jpg;pictures/29588_7.jpg;pictures/29588_8.jpg;pictures/29588_9.jpg;pictures/29588_10.jpg,,,"
		16"" on center cross members<br />
		C/L Furniture layout<br />
		Paper towel holder<br />
		Extended aft deck layout<br />
		Mirage changing room<br />
		12 volt power outlet<br />
		Skirt molding<br />
		Trash storage w/door<br />
		LED Courtesy light<br />
		25"" Tubes .090 gauge w/ .100 nose cones<br />
		Slim table<br />
		Rubber gunnel molding<br />
		Evolution rails Liberty helm<br />
		6"" Stainless steel cleats<br />
		Evolution Bimini top (11' - 230, 13'6""- 250)<br />
		Beacon electronic sytem<br />
		Playpen cover<br />
		Bimini quick release brackets (4)<br />
		4 high-performance speakers W/Directional mounts<br />
		LED Docking &amp; nav lights (corner castings)<br />
		Opulent couches 10"" Subwoofer<br />
		30 gallon EPA compliant fuel tank (transom)<br />
		Executive helm &amp; passenger chair (2)<br />
		Legacy Gauges: speed/volt, tach./trim Fender holders/straps<br />
		Chaise lounge arms (4)<br />
		Curly Maple steering wheel<br />
		Illuminated Telescopic Ladder<br />
		C/L Furniture layout<br />
		Bimini trailering kit<br />
		Aft vinyl floor
",false,,,,,,,,2015,Premier Pontoons,,Pontoon Boat,,Solaris 230,,,,Mercury,200,,,,,,,,,,,
29587,Marine,gtperformance,pictures/29587_1.jpg;pictures/29587_2.jpg;pictures/29587_3.jpg;pictures/29587_4.jpg;pictures/29587_5.jpg,,,"
		Indmar Raptor 400 HP Motor<br />
		3 Year Bow to Stern Warranty<br />
		Tig� Lifeplus Lifetime Warranty<br />
		3 Year Touch Screen Warranty<br />
		5 Year Warranty Indmar Raptor 400<br />
		Zero Off Cruise Control<br />
		Tig� Touch2 Screen<br />
		Rev 10 Blue LED<br />
		Bimini Surf Black<br />
		3 Vent Heater System<br />
		Luxe Paint Package<br />
		Black Surf Racks<br />
		Z-Cline Captains Seat<br />
		Custom Color Alpha Z Tower<br />
		Tower of Power REV 10s<br />
		Wake Pro Ballast<br />
		Convex VX
",false,Saskatchewan,,,,,,,2015,Tige,,,,Z1,"21' 6""",,,,,,,,,,0,,Included,,White/Black,White
24680,Marine,gtperformance,pictures/24680_1.jpg;pictures/24680_2.jpg;pictures/24680_3.jpg;pictures/24680_4.jpg;pictures/24680_5.jpg;pictures/24680_6.jpg;pictures/24680_7.jpg;pictures/24680_8.jpg,New,," 			VERTICE Steering Wheel<br />
			Surf Ballast System<br />
			Surf AVX<br />
			Fresh Water Strainer<br />
			Open Bow Windscreen<br />
			Black Surf Racks<br />
			Tower of Power REV 10's<br />
			Rev 10 RGB LED<br />
			Transom Display Remote<br />
			3 Year Bow to Stern Warranty<br />
			Tig� Lifeplus Lifetime Warranty<br />
			3 Year Touch Screen Warranty<br />
			5 Year Warranty Indmar Raptor 400<br />
			Zero Off Cruise Control<br />
			Tig� Touch2 Screen
",false,Saskatchewan,,,,,,,2014,Tige,,Power Boat,"
		Engine: INDMAR Raptor 400 (5 Year Warranty)<br />
		Paint Scheme: Premium<br />
		Flooring: Snap in Carpet<br />
		PROP: 14.5""x14.25 4Bld<br />
		Fresh Water Strainer<br />
		Alpha Z Tower<br />
		Seat: Aergo<br />
		Windscreen<br />
		Bimini: Black<br />
		Decals: Vector",RZR,20',3000,"7' 8""",Indmar Fusion 5.7,325 HP,Convex V / Taps,Inboard,12,Gas,38 Gal,,Touring,Included,,,
24682,Marine,gtperformance,pictures/24682_1.jpg;pictures/24682_2.jpg;pictures/24682_3.jpg;pictures/24682_4.jpg;pictures/24682_5.jpg;pictures/24682_6.jpg;pictures/24682_7.jpg;pictures/24682_8.jpg,New,ASR," 
			Surlast Boat Cover<br />
			Surf Bimini Black<br />
			Tivoli Steering Wheel<br />
			AVX Custom<br />
			EIDB System<br />
			Single Heater<br />
			Deckadance Mat<br />
			Z-Cline Captains Seat w/Bolst<br />
			Custom Color Alpha Z Tower<br />
			Black Clamping Racks<br />
			Tower of Power REV 8's<br />
			Extra Tower Speakers REV 10's<br />
			Rev 8 RGB LED<br />
			Rev 10 RGB LED<br />
			Transom Display Remote<br />
			Two Under Water Transom Lights<br />
			Wake Pro Ballast",false,Saskatchewan,,,,,,,2014,Tige,,Power Boat,"
		Engine: INDMAR Raptor 400 (5 Year Warranty)<br />
		Paint: Luxe<br />
		Flooring: Deckadance<br />
		PROP: 15 x 12<br />
		Fresh Water Strainer<br />
		Under Water Lights<br />
		Racks: Clamping<br />
		Stereo Package: Tower of Power REV 8's<br />
		Tower Speakers: REV 8's &amp; REV 10's White<br />
		Ballast: Wake Pro<br />
		Seat: Z-Cline Captains Chair<br />
		Windscreen<br />
		Surf Bimini<br />
		Decals: Vector<br />
		3 Year Bow to Stern Warranty<br />
		Tig� Lifeplus Lifetime Warranty<br />
		3 Year Touch Screen Warranty<br />
		Zero Off Cruise Control<br />
		Tig� Touch2 Screen",Z3,23',,"102""",,,Convex VX,Inboard,16,Gas,65 Gal,,Touring,Included,,,
26910,Marine,gtperformance,pictures/26910_1.jpg;pictures/26910_2.jpg;pictures/26910_3.jpg;pictures/26910_4.jpg;pictures/26910_5.jpg;pictures/26910_6.jpg;pictures/26910_7.jpg;pictures/26910_8.jpg,In Stock,,"
					TIVOLI Steering Wheel<br />
					Rev 10 RGB LED<br />
					Surlast Cover Alpha HT<br />
					Surf Bimini<br />
					EIDB System<br />
					Fresh Water Strainer<br />
					3 Vent Heater System<br />
					Luxe Paint Package<br />
					Clamping Board Racks<br />
					Z-Cline Captains Seat<br />
					Black Alpha Z Tower<br />
					Tower of Power REV 10's<br />
					Custom Color REV Speakers<br />
					Transform Display Remote<br />
					Wake Pro Ballast<br />
					Surf AVX<br />
					Tandem Axle Standard Trailer w/ Aluminum Rims<br />
					Rock Shield Trailer Coating</span></p>
			</div>
		</div>
	</div>
</div>",false,Saskatchewan,,,,,,,2015,Tige,,Power Boat,"<div>
	�</div>
<div>
	<div class=""flex_hbox"" style=""width:380px;height:514px;margin-right:20px;margin-left:20px;vertical-align:top;"">
		<div class=""flex_vbox"" style=""width:380px;height:514px;vertical-align:top;"">
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:380px;"">
				<p class=""font_6"">
					<span style=""color:rgb(0,0,0);"">2015 Tige Z1</span></p>
			</div>
			<div class=""flex_vbox"" style=""width:0px;height:24px;"">
				�</div>
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:380px;margin-top:20px;"">
				<p class=""font_9"">
					<span style=""color:rgb(0,0,0);"">Features<br /><br />
					 Indmar Raptor 400 HP Motor<br />
					3 Year Bow to Stern Warranty<br />
					Tig� Lifeplus Lifetime Warranty<br />
					3 Year Touch Screen Warranty<br />
					5 Year Warranty Indmar Raptor 400<br />
					Zero Off Cruise Control<br />
					Tig� Touch2 Screen</span></p>
			</div>
		</div>
	</div>
</div>
<ul><li>
		en</li>
</ul>",Z1,,,,Indmar Fusion 5.7,335 HP,Convex V / Taps,Inboard,,Gas,,,Touring,,,,
29300,Marine,gtperformance,pictures/29300_1.jpg,,,"<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""margin:20px 0px 0px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;background-position:0px 0px;"">
	<p class=""font_9"" style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;font-size:12px;font-family:tahoma, &quot;tahoma-w01-regular&quot;, &quot;tahoma-w02-regular&quot;, &quot;tahoma-w10-regular&quot;, &quot;tahoma-w15--regular&quot;, &quot;tahoma-w99-regular&quot;, sans-serif;color:rgb(213,213,213);background:0px 0px;"">
		<span style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);background:0px 0px;"">Features<br /><br />
		Indmar Raptor 400 HP Motor<br />
		3 Year Bow to Stern Warranty�<br />
		Tig� Lifeplus Lifetime Warranty<br />
		3 Year Touch Screen Warranty<br />
		5 Year Warranty Indmar Raptor 400<br />
		Zero Off Cruise Control<br />
		Tig� Touch2 Screen<br /><br />
		Options (included)<br /><br />
		TIVOLI Steering Wheel<br />
		Rev 10 RGB LED<br />
		Surlast Cover Alpha HT<br />
		Bimini Black<br />
		EIDB System<br />
		Fresh Water Strainer<br />
		3 Vent Heater System<br />
		Luxe Paint Package<br />
		Black Surf Racks<br />
		Z-Cline Captains Seat<br />
		Black Alpha Z Tower<br />
		Tower of Power REV 10's<br />
		Custom Color REV Speakers<br />
		Transform Display Remote<br />
		Wake Pro Ballast<br />
		Convex VX<br />
		Tandem Axle Standard Trailer</span></p>
</div>
<div style=""margin:0px 0px 20px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;background-position:0px 0px;"">
	�</div>
<div class=""wysiwyg_viewer_skins_line_DashedLinehl4"" style=""margin:0px;padding:0px;border-width:0px 0px 2px;border-bottom-style:dashed;border-bottom-color:rgb(51,51,51);vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;height:0px;background-position:0px 0px;"">
	<div style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;background:0px 0px;"">
		�</div>
</div>
<div style=""margin:20px 0px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;background-position:0px 0px;"">
	<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;background:0px 0px;"">
		�</div>
</div>",false,Saskatchewan,,,,,,,2015,Tige,,,,Z1,,,,,400,,,,Gas,,0,,,,,
24683,Marine,gtperformance,pictures/24683_1.jpg;pictures/24683_2.jpg;pictures/24683_3.jpg;pictures/24683_4.jpg;pictures/24683_5.jpg;pictures/24683_6.jpg;pictures/24683_7.jpg;pictures/24683_8.jpg,New,,"<div style=""margin-left:40px;width:350px;float:left;"">
	<div class=""flex_hbox"" style=""width:380px;height:100%;margin-right:20px;margin-left:20px;vertical-align:top;"">
		<div class=""flex_vbox"" style=""width:380px;height:100%;vertical-align:top;"">
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:100%;margin-top:20px;"">
				<p class=""font_9"">
					<br /><span style=""color:rgb(0,0,0);"">Options (included)<br /><br />
					VERTICE Steering Wheel<br />
					Surf Ballast System<br />
					Surf AVX<br />
					Fresh Water Strainer<br />
					Open Bow Windscreen<br />
					Black Surf Racks<br />
					Tower of Power REV 10's<br />
					Rev 10 RGB LED<br />
					Transom Display Remote<br />
					3 Year Bow to Stern Warranty<br />
					Tig� Lifeplus Lifetime Warranty<br />
					3 Year Touch Screen Warranty<br />
					5 Year Warranty Indmar Raptor 400<br />
					Zero Off Cruise Control<br />
					Tig� Touch2 Screen</span><br />
					�</p>
			</div>
		</div>
	</div>
</div>",false,Saskatchewan,,,,,,,2014,Tige,,Power Boat,"
<div>
	<div class=""flex_hbox"" style=""width:380px;height:528px;margin-right:20px;margin-left:20px;vertical-align:top;"">
		<div class=""flex_vbox"" style=""width:380px;height:528px;vertical-align:top;"">
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:380px;"">
				<p class=""font_6"">
					<span style=""color:rgb(0,0,0);"">2015 Tige RZR</span></p>
			</div>
			<div class=""flex_vbox"" style=""width:0px;height:24px;"">
				�</div>
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:380px;margin-top:20px;"">
				<p class=""font_9"">
					<span style=""color:rgb(0,0,0);"">Standard Features<br /><br />
					Engine: INDMAR Raptor 400 (5 Year Warranty)<br />
					Paint Scheme: Premium<br />
					Flooring: Snap in Carpet<br />
					PROP: 14.5""x14.25 4Bld<br />
					Fresh Water Strainer<br />
					Alpha Z Tower<br />
					Seat: Aergo<br />
					Windscreen<br />
					Bimini: Black<br />
					Decals: Vector</span></p>
			</div>
		</div>
	</div>
</div>",RZR,20',3000 lbs,"7' 8""",Indmar Fusion 5.7,325 HP,Convex V / Taps,Inboard,12,Gas,38 Gal,,Touring,Included,,,
24529,Marine,gtperformance,pictures/24529_1.jpg;pictures/24529_2.jpg;pictures/24529_3.jpg;pictures/24529_4.jpg;pictures/24529_5.jpg;pictures/24529_6.jpg;pictures/24529_7.jpg;pictures/24529_8.jpg;pictures/24529_9.jpg;pictures/24529_10.jpg,New,,"<div class=""entry-content"">
	<div class=""content"">
		<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:100%;"">
			<p class=""font_6"">
				�</p>
		</div>
		<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:100%;margin-top:20px;"">
			<p class=""font_9"">
				<span style=""color:rgb(0,0,0);"">Options (included)<br /><br />
				Stereo Package: Tower of Power REV 10's<br />
				Seat: Aergo<br />
				Bimini: Black<br />
				Vertice Steering Wheel<br />
				Underwater Lights<br />
				Luxe Paint<br />
				Synteak Flooring<br />
				AVX Base<br />
				EIDB System<br />
				Fresh Water Strainer<br />
				Single Heater<br />
				Black Alpha Z Tower<br />
				Black Surf Racks<br />
				Tower of Power REV 10's<br />
				Extra Tower Speakers REV 10's<br />
				Rev 10 Blue LED<br />
				Transom Display Remote<br />
				Wake Pro Ballast�</span></p>
		</div>
	</div>
</div>",false,Saskatchewan,,,,,,,2015,Tige,,Power Boat,"<div style=""width:350px;float:left;"">
	<ul><li>
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:323px;"">
				<p class=""font_6"">
					<span style=""color:rgb(0,0,0);"">2015 Tige RZ2</span></p>
			</div>
			<div class=""flex_vbox"" style=""width:0px;height:24px;"">
				�</div>
			<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""width:323px;margin-top:20px;"">
				<p class=""font_9"">
					<span style=""color:rgb(0,0,0);"">Standard Features<br /><br />
					Engine: INDMAR Raptor 400 (5 Year Warranty)<br />
					Convex V/Taps �<br />
					Tig� Cruise Control<br />
					3 Year Bow to Stern Warranty<br />
					Tig� Lifeplus Lifetime Warranty<br />
					Tig� Vector Tower Black<br />
					5 Year Touch Screen Warranty<br />
					Wetsounds Premium Sound System<br />
					Helm Seat with Flip up Bolster<br />
					Standard Mirror &amp; Bracket<br />
					Vertice Steering Wheel<br />
					Cooler with Bow Filler Cushion<br />
					Remote Cable Swivel Seat Slide<br />
					Compass<br />
					Non Skid Flooring<br />
					Transom Grab Handle<br />
					Depth Gauge<br />
					Vinyl Ester Barrier Coat<br />
					Tig� Touch Screen</span></p>
			</div>
		</li>
	</ul></div>",RZ2,22',4150,"102""",Indmar M57 5.7,350,Convex V / Taps,Inboard,15,Gas,48 Gal,,Touring,Included,,,
29301,Marine,gtperformance,pictures/29301_1.jpg,,,"<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""margin:20px 0px 0px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;background-position:0px 0px;"">
	<p class=""font_9"" style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;font-size:12px;font-family:tahoma, &quot;tahoma-w01-regular&quot;, &quot;tahoma-w02-regular&quot;, &quot;tahoma-w10-regular&quot;, &quot;tahoma-w15--regular&quot;, &quot;tahoma-w99-regular&quot;, sans-serif;color:rgb(213,213,213);background:0px 0px;"">
		<span style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);background:0px 0px;"">Features<br /><br />
		Indmar Raptor 400 HP Motor<br />
		3 Year Bow to Stern Warranty�<br />
		Tig� Lifeplus Lifetime Warranty<br />
		3 Year Touch Screen Warranty<br />
		5 Year Warranty Indmar Raptor 400<br />
		Zero Off Cruise Control<br />
		Tig� Touch2 Screen<br /><br />
		Options (included)<br /><br />
		Deckadance Mat<br />
		Rev 10 Blue LED<br />
		Surlast Cover Alpha HT<br />
		Bimini Surf Black<br />
		EIDB System<br />
		Fresh Water Strainer<br />
		3 Vent Heater System<br />
		Black Surf Racks<br />
		Z-Cline Captains Seat<br />
		Custom Color Alpha Z Tower<br />
		Tower of Power REV 10's<br />
		Transform Display Remote<br />
		Wake Pro Ballast<br />
		Convex VX<br />
		Trailer</span></p>
</div>
<div style=""margin:0px 0px 20px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;background-position:0px 0px;"">
	�</div>
<div class=""wysiwyg_viewer_skins_line_DashedLinehl4"" style=""margin:0px;padding:0px;border-width:0px 0px 2px;border-bottom-style:dashed;border-bottom-color:rgb(51,51,51);vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;height:0px;background-position:0px 0px;"">
	<div style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;background:0px 0px;"">
		�</div>
</div>
<div style=""margin:20px 0px;padding:0px;border:0px;vertical-align:baseline;color:rgb(0,0,0);font-family:Arial, Helvetica, sans-serif;font-size:10px;background-position:0px 0px;"">
	<div class=""wysiwyg_viewer_skins_WRichTextNewSkin"" style=""margin:0px;padding:0px;border:0px;vertical-align:baseline;background:0px 0px;"">
		�</div>
</div>",false,Saskatchewan,,,,,,,2015,Tige,,,,Z1,21,,,,400,,,,,,,,,,,
29585,Marine,gtperformance,pictures/29585_1.jpg;pictures/29585_2.jpg;pictures/29585_3.jpg;pictures/29585_4.jpg;pictures/29585_5.jpg,,,"<p>
	Features<br /><br />
	24"" on center cross members<br />
	Starboard side mid-ship couch w/cooler (221 only) Humminbird 175 fish finder<br />
	Skirt molding<br />
	Paper towel holder<br />
	12 volt power outlet<br />
	25"" Tubes .090 gauge w/ .100 nose cones<br />
	Trash storage<br />
	Courtesy light<br />
	Evolution rails<br />
	Port side changing room (221 only)<br />
	6"" Stainless steel cleats<br />
	Trolling motor gate<br />
	Round table<br />
	Playpen cover<br />
	9' Bimini top<br />
	Caliber Helm<br />
	LED Docking &amp; nav lights (corner castings)<br />
	Bimini quick release brackets (4)<br />
	Jensen 2212PRE Stereo<br />
	30 gallon EPA compliant fuel tank (transom)<br />
	Bimini trailering kit<br />
	2 high-performance speakers<br />
	Corner trays (3)<br />
	Signature couch (2 on 221)<br />
	USB/MP3 Port<br />
	Captains station w/livewell<br />
	Executive helm chair<br />
	Tilt steering<br />
	Fender holders/straps<br />
	Executive bow chairs (2)<br />
	Hawk III steering whee Rod holders (5)<br />
	Rear Deluxe fish chairs (2)<br />
	Legacy gauges: Speed/Fuel, Tach./Trim<br />
	5 step stainless steel ladder<br />
	Chaise lounge arm</p>",false,,,,,,,,2015,Premier Pontoons,,Pontoon Boat,,221 Explorer,,,,,,,,,,,,,,,,
29586,Marine,gtperformance,pictures/29586_1.jpg;pictures/29586_2.jpg;pictures/29586_3.jpg;pictures/29586_4.jpg;pictures/29586_5.jpg,,,"Trash storage<br />Round table</<br />Skirt molding <br />Port side changing room (221 only) <br />Courtesy light<br />.090 gauge <br /> .100 nose cones<br />Caliber Helm <br />6"" Stainless steel cleats<br />Evolution rails<br />Jensen 2212PRE<br />Stereo <br />Playpen cover<br />9' Bimini top <br />2 high-performance speakers <br />LED Docking &amp; nav lights (corner castings)<br />Bimini quick release brackets (4) <br />USB/MP3 Port <br />30 gallon�<br />EPA compliant fuel tank (transom)<br />Bimini trailering kit <br />Hawk III steering wheel <br />Corner tray/cup holder<br />Signature couches<br /> Legacy gauges: Speed/Fuel, Tach./Trim <br />Captains station w/livewell<br />Executive helm chair <br />Paper towel holder <br />Rod holders (201=2) &amp; (221=5)<br />Executive helm chair <br />Tilt steering Fender holders/straps<br /><br />Rear Deluxe fish chairs (2)<br /><br />Fender holders/straps<br />Chaise lounge arm (201- 1, 221- 2) <br />5 Step stainless steel ladder<br />C/L Furniture layout</span><br style=""color:rgb(0,0,0);font-family:tahoma, &quot;tahoma-w01-regular&quot;, &quot;tahoma-w02-regular&quot;, &quot;tahoma-w10-regular&quot;, &quot;tahoma-w15--regular&quot;, &quot;tahoma-w99-regular&quot;, sans-serif;"" /><span style=""color:rgb(0,0,0);font-family:tahoma, &quot;tahoma-w01-regular&quot;, &quot;tahoma-w02-regular&quot;, &quot;tahoma-w10-regular&quot;, &quot;tahoma-w15--regular&quot;, &quot;tahoma-w99-regular&quot;, sans-serif;""><br />",false,,,,,,,,2015,Premier Pontoons,,Pontoon Boat,,221 Gemini,,,,Mercury,,,,,,,,,,,,
